Comment in English,Spam / Ham,Sentiment
Imagine car size potholes on road.,ham,neutral
This defeats the definition of cars,spam,neutral
"When you realize the bottom of the earth is empty.......

Why are we not dead?",spam,negative
Hyperpod?,spam,neutral
"We have to learn this for a school project, so boring 😗",spam,negative
Kinda boring,spam,negative
"dear future this man is gonna change alot
by ALOT I MEAN 
ALLLOOOTT",spam,neutral
So how will people access gps,ham,neutral
If Elon was president:,spam,neutral
"Some kid in the 70s : flying cars in future!

2020: T E S L A",spam,neutral
I don’t really see the benefits in this though..,spam,negative
"atleast a coup[le are here from ""elon r u ok""",spam,neutral
imagine everyone used the boring tunnel,spam,neutral
"Wow, so boring.",spam,negative
Such a boring concept,spam,negative
"Yeah, of course, that's all and will dig it up",spam,negative
I like fire truxcks.,spam,neutral
"I dont get it tho
Do u have to be like super rich to get that privelage",ham,neutral
"What about subways?? We already have subways, right? Isnt these Elon tunnel cost inefficient?",ham,negative
why..,spam,neutral
Where do i find this?,spam,neutral
Another way of Boomer,spam,neutral
thats what u call a train elon stop the weed its too much for u,spam,neutral
I can just walk there and enter the tunnel without driving a car,ham,neutral
Elon musk be like I giorono gavana have a dream and this is it,spam,neutral
What happened if u ride a motorcycle in there,ham,neutral
Would i be able to experience it im my lifetime?,spam,neutral
Uhh? What’s the point of having a car then?,spam,neutral
"So the cars havd wheels for nothing.
Lol",spam,negative
why do you need windows on an car if you just gonna be under ground,spam,neutral
OMFG.,spam,neutral
ok but why,spam,neutral
What's the point of sitting in the car,spam,neutral
#carbogo,spam,neutral
"Even if just one if his brilliant ideas went through, he would be a legend. 
This is multiple ideas he is creating. There should be a knew term for it like a man of Musk.",spam,positive
"Man this is an amazing idea but there are some flaws like 
1) what if the power goes out
2) what if the tunnel collapses 
3) earthquake 
4) what if someone jumps out of there car or manages to get there car off the thing
5) can it flood",ham,neutral
"yeah hollowing the entire ground under buildings weighing who knows how many tons 

sounds like a good idea to me",ham,negative
"Toxic driver be like: *cuts in line*
Accidents sometimes intentionally happen
Toxic driver: i was here first

Unless you go full automated im pretty sure there'll be people who are impatient and really aggressive ones.

Because they invented lots of ways to make driving more comfortable, more safer, more durable.

Toxic driver: car goes brrrrrrrrooooooom fast. Not fast, bad car.

But hey nice idea.
Then the people would ride a car that would ride a car that will ride into a bigger bus that gives ride to lots of cars.",ham,negative
Sale boring bricks,spam,neutral
This is wonderful👌,spam,positive
WHAT,spam,neutral
From the thumbnail i thought it was a parody/meme video!!😅,spam,negative
The traffic is gonna get created because too many people wanna go on it lel😭😭😭,ham,negative
If this is the future I don’t like it no offense,spam,negative
I'm sure he smokes high dose weed.,spam,neutral
What happened if in tunnel got a accident,ham,neutral
Humans will travel like moles and rats,spam,neutral
Why is this on my recommendations?,spam,neutral
"Me : I hate this traffic

Elon Musk : I hate this traffic I am going to build a tuneel",spam,negative
"So this proves that First People went in Metros then they go in cars with wheels now
 they buy a car to travel in a metro. Hence, people are kinda stooopid lol",spam,negative
"*Ok, so this is how the vent looks like in Among us*",spam,neutral
*Red is an impostor..he used vent*,spam,neutral
50 years ago this was fantasy but now modern day it’s facts  tunnels under Las Vegas,spam,neutral
"And that's how humanity die n sank to the bottom of the ocean when nuclear weapons were being tested.
So remember kids, don't build a fucking tunnel underground when earth 🌎 surfaces weighs more than a shit ton, and ESPECIALLY if you came from taking a massive blunt",spam,negative
Can you make it real? It is cool,spam,positive
"Ye, in the future everyone be gettin’ Tesla. Cuz who wouldn’t?",spam,neutral
People in 2077 laughing at this video from Mars,spam,neutral
"Nice mate you just invented something new called "" TUNNEL TRAFFIC""",spam,negative
Elon are you okay?,spam,neutral
"“WHO ELSE HAS BEEN A FAN BEFORE OCTOBER??” 🎃


“ɪᴍ ɢɪꜰᴛɪɴɢ ᴇᴠᴇʀʏᴏɴᴇ ᴡʜᴏ ʟɪᴋᴇꜱ ᴀɴᴅ ꜱᴜʙꜱ ᴛᴏ ᴍᴇ” 🎁",spam,neutral
"These tunnels will be expensive. Not for the size, but to make them Earthquake 
Proof since L.A is in an Earthquake zone. A Major Earthquake zone too.",ham,negative
"taxi, subway and buses: i'm a joke to you?",spam,neutral
It would make traffic way worse because the cars behind would have to wait,ham,negative
What happens if a car falls into the hole in the road?,ham,neutral
This thing is so boring,spam,negative
Woah this game is soo realistic!,spam,positive
Government and schools: No,spam,negative
My question is what is the car wants to go backwards like back to where the model s started,ham,neutral
I love how every other car is just a Tesla,spam,positive
And humans just keep digging and building things underground. Until they reach the Earth’s core..,spam,neutral
I freakin love Elon man...,spam,positive
"I love tesla cars
By the way the red car is a tesla model S",spam,positive
0:43 POV you’re using x ray hacks to find diamonds,spam,neutral
Putting cars underground and opening up walking spaces for people is actually a good idea.,spam,positive
Imagine the damage that an earthquake could cause to all this.,ham,negative
*elon r u ok*,spam,neutral
There’s no way Elon isn’t some movie villain that found his way into reality...,spam,negative
So this is how cars made strip mines,spam,neutral
"It looks like a hyperpod from those
 hotwheels movies",spam,neutral
Man we got that here in the UK we call it train tubes.,spam,neutral
Lol just wait until they hit a sewage pipe while drilling,ham,neutral
"Cool, but not very practical",spam,negative
"Oh, Hot wheels released a new track? :P",spam,neutral
Wtf than u buy a car to put it on another car,spam,negative
"Congratulations, you just invented the Subway. Except it's kinda less effective.",spam,negative
So you want to make world empty from inside too,spam,neutral
"I mean it's a nice concept, but I think it's practically impossible to get this job done.
 Tunnels are under ground and you have a lot of work from that. 
And with all the trash driving above the ground you'll never ever get the job done...",ham,negative
This idea is so amazing!!!!!!,spam,positive
Yea nice plan..... tunnels In the ground,spam,neutral
Nyc,spam,neutral
"200 km/h in tunnel.
My square van with shit aerodynamics-
I believe I can fly, I believe I can touch the skies",spam,neutral
Isn’t that car racism.,spam,neutral
Elon stop smoking weed,spam,negative
"Wow Elon, thanks for ruining the joy of driving cars :(",spam,neutral
"The person who does not believe on it he is totally illiterate 
&
He does not know about Elon Musk",spam,neutral
Its amazing how humans minds can reach so far good luck on the project,spam,positive
Not gonna lie I don't think that Tesla is boring there were just helping the environment,spam,positive
Are the cars gonna be lazy asf too now?,spam,negative
"Now: Congestion on roads, Elon Musk starts making tunnel UNDER roads
When tunnels are done: Congestion in TUNNELS",ham,neutral
I hate this so very much,spam,negative
